time,measurement,field,value,application,batchId,configurationId,cpu,executionCounter,host,projectId,userId
2026-05-16 10:32:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu-total,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu0,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu1,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu2,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu3,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu4,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu5,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu6,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu7,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu-total,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu0,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu1,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu2,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu3,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu4,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu5,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu6,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu7,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:50+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu-total,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:50+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu0,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:50+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu1,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:50+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu2,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:50+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu3,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:50+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu4,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:50+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu5,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:50+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu6,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:50+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu7,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:00+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu-total,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:00+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu0,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:00+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu1,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:00+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu2,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:00+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu3,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:00+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu4,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:00+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu5,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:00+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu6,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:00+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu7,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:10+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu-total,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:10+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu0,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:10+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu1,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:10+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu2,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:10+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu3,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:10+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu4,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:10+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu5,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:10+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu6,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:10+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu7,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:20+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu-total,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:20+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu0,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:20+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu1,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:20+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu2,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:20+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu3,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:20+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu4,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:20+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu5,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:20+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu6,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:20+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu7,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu-total,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu0,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu1,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu2,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu3,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu4,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu5,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu6,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu7,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu-total,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu0,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu1,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu2,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu3,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu4,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu5,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu6,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu7,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:50+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu-total,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:50+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu0,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:50+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu1,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:50+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu2,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:50+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu3,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:50+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu4,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:50+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu5,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:50+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu6,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:50+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu7,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:00+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu-total,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:00+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu0,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:00+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu1,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:00+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu2,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:00+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu3,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:00+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu4,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:00+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu5,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:00+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu6,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:00+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu7,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:10+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu-total,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:10+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu0,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:10+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu1,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:10+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu2,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:10+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu3,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:10+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu4,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:10+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu5,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:10+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu6,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:10+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu7,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:20+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu-total,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:20+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu0,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:20+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu1,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:20+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu2,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:20+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu3,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:20+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu4,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:20+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu5,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:20+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu6,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:20+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu7,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu-total,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu0,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu1,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu2,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu3,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu4,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu5,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu6,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu7,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu-total,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu0,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu1,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu2,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu3,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu4,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu5,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu6,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu7,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:50+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu-total,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:50+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu0,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:50+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu1,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:50+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu2,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:50+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu3,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:50+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu4,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:50+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu5,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:50+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu6,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:50+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu7,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:00+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu-total,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:00+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu0,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:00+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu1,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:00+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu2,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:00+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu3,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:00+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu4,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:00+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu5,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:00+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu6,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:00+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu7,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:10+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu-total,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:10+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu0,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:10+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu1,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:10+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu2,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:10+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu3,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:10+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu4,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:10+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu5,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:10+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu6,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:10+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu7,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:20+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu-total,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:20+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu0,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:20+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu1,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:20+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu2,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:20+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu3,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:20+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu4,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:20+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu5,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:20+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu6,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:20+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu7,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu-total,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu0,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu1,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu2,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu3,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu4,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu5,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu6,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:30+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu7,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu-total,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu0,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu1,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu2,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu3,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu4,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu5,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu6,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:40+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu7,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:35:50+00:00,cpu,usage_guest,0.0,dbms,clickbench,postgresql-indexed-load,cpu-total,1,ip-172-31-19-62,olap,benchANT
